Id Stasiun,Nama Site,Type,Kab. Kota,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25
150116,ARG Kuala Kampar,arg,Kab. Pelalawan,96,100,93,99,100,93,85,97,93,97,95,87,92,80,88,99,83,52,0,0,0,0,50,58,81,69,83,84,60,81,77,56,69,50,96,93,86,83,100,94,83,93,97,88,86,88,86,96,96,96,77,99,99,98
150117,ARG Minas,arg,Kab. Siak,96,100,99,99,100,88,84,99,100,98,99,89,100,100,100,100,100,100,100,99,97,100,99,96,79,88,34,1,8,98,97,99,100,99,99,100,100,100,99,99,95,100,100,100,98,100,99,99,99,100,100,82,100,100
150118,ARG Pusako,arg,Kab. Siak,96,100,100,100,98,99,99,99,97,99,99,92,100,99,98,99,99,97,90,96,100,100,98,100,100,100,100,100,100,100,93,100,100,100,43,83,100,100,87,85,83,84,66,89,95,99,92,93,67,51,100,76,2,0
150119,ARG Tandun,arg,Kab. Rokan Hulu,93,98,91,98,93,91,85,85,89,96,97,85,100,98,96,83,1,1,80,99,92,100,93,98,99,87,82,87,89,87,89,92,99,99,99,100,99,100,100,82,100,100,100,100,87,92,100,100,99,98,79,81,100,100
150120,ARG Tambusai,arg,Kab. Rokan Hulu,0,8,9,0,19,99,100,99,100,99,100,93,100,100,99,100,99,97,100,100,100,100,100,100,100,73,52,55,21,95,67,84,100,98,79,98,95,99,75,85,86,100,99,100,91,78,100,100,99,97,72,67,95,92
STA0133,ARG Kandis,arg,Kab. Siak,100,100,89,98,100,94,86,99,99,99,100,91,99,100,100,100,100,98,99,99,99,100,99,99,99,96,100,89,31,99,95,97,99,100,99,95,100,100,100,100,100,100,100,91,50,43,44,79,35,40,91,1,0,24
STA0150,ARG Tanah Putih,arg,Kab. Rokan Hilir,100,100,90,98,99,93,82,98,99,99,100,91,99,99,99,90,0,0,0,0,33,100,98,100,100,96,100,99,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,99,100,99,100,100,100
STA0151,ARG Bantan,arg,Kab. Bengkalis,49,79,100,96,95,91,21,0,35,21,17,5,0,33,46,99,100,100,100,100,100,100,98,100,100,96,100,95,99,99,99,91,100,94,84,100,100,100,100,100,100,100,100,100,96,100,96,98,98,100,100,100,100,100
STA0152,ARG Siak,arg,Kab. Siak,100,100,90,100,100,93,86,99,99,99,100,90,62,34,99,99,99,98,99,99,99,100,99,99,98,89,100,99,100,99,95,98,99,100,99,95,100,100,99,100,100,98,100,87,31,95,100,99,100,99,79,100,100,100
STA0153,ARG Kuantan Tengah,arg,Kab. Kuantan Singingi,33,79,55,78,73,89,84,98,96,97,98,89,98,99,90,98,75,37,0,77,68,56,54,19,14,15,53,55,60,66,63,68,68,68,88,90,99,98,72,99,99,99,92,99,99,97,100,99,101,98,79,100,101,100
STA0154,ARG Pasir Pangaraian,arg,Kab. Rokan Hulu,99,97,91,98,91,93,85,93,94,95,100,88,93,96,96,97,48,0,69,98,94,96,86,0,0,91,99,99,100,99,94,98,99,100,99,95,99,99,99,93,100,99,100,100,99,100,100,100,100,99,80,77,0,0
STA0155,ARG XIII Koto Kampar,arg,Kab. Kampar,59,59,56,57,58,47,45,47,43,18,32,67,58,68,81,78,81,75,74,76,67,75,73,46,2,95,100,99,99,100,99,100,100,100,84,100,100,100,100,100,100,100,100,100,97,99,98,98,96,100,80,99,99,99
STA0174,ARG Teluk Meranti,arg,Kab. Pelalawan,89,96,87,99,97,92,84,98,93,91,54,82,93,100,92,94,92,93,87,80,99,84,96,92,93,91,84,84,85,85,81,95,95,97,97,94,94,96,96,95,95,90,92,98,97,95,97,87,99,99,100,100,100,100
STA0201,ARG SMPK Bangkinang,arg,Kab. Kampar,100,100,90,98,99,92,81,98,99,24,69,96,99,100,100,100,100,98,85,99,99,100,99,99,100,96,100,99,100,99,96,98,99,100,99,95,99,100,100,100,100,100,100,100,99,100,100,99,100,99,79,16,0,0
STA0202,ARG Bukit Batu,arg,Kab. Bengkalis,100,100,90,98,100,94,86,99,99,99,100,96,99,100,99,58,36,26,16,76,100,100,98,100,100,96,100,99,99,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,94,100,100,99,99,99,100,100,100,100
STA0205,ARG Rokan IV Koto,arg,Kab. Rokan Hilir,73,100,90,100,98,91,87,99,98,99,100,93,97,100,99,98,94,81,89,48,14,58,99,99,100,96,99,94,98,79,57,94,99,93,99,94,100,100,92,99,98,85,98,100,97,93,98,100,100,99,80,100,100,64
STA0206,ARG Tembilahan,arg,Kab. Indragri Hilir,96,99,97,100,98,99,99,99,97,99,100,93,100,100,98,99,100,97,89,97,98,92,56,54,56,56,57,55,54,55,52,60,99,100,100,95,100,100,100,100,100,100,100,100,100,100,100,87,98,87,56,59,79,82
STA0207,ARG Tebing Tinggi,arg,Kab. Kep. Meranti,7,6,5,77,51,50,0,0,0,0,0,0,0,0,0,0,0,96,97,98,99,99,98,100,100,96,58,99,99,100,99,99,99,100,100,100,100,100,100,100,100,91,92,100,90,86,100,92,93,99,75,99,95,99
STA0208,ARG Batang Cenaku,arg,Kab. Indragiri Hulu,99,99,92,94,98,87,86,98,99,99,98,96,98,100,99,99,100,98,99,99,99,100,99,99,99,96,100,99,100,99,96,98,99,94,37,15,13,12,15,36,41,39,42,63,64,57,49,95,99,90,9,99,86,98
STA0209,ARG Dumai Timur,arg,Kota Dumai,100,100,90,98,100,93,86,99,99,99,100,96,99,100,100,99,100,98,99,99,99,100,49,92,100,98,100,99,100,100,96,98,99,97,99,94,100,100,100,100,100,100,100,100,99,100,94,68,100,100,100,100,100,100
STA3259,ARG SMPK Bunga Raya,arg,Kab. Siak,100,100,91,100,100,94,86,99,99,99,100,98,99,100,100,100,100,98,99,99,99,100,99,99,100,95,99,99,99,97,64,95,99,100,99,98,99,99,100,100,99,90,100,99,92,100,100,100,100,100,100,100,100,100
STAL041,ARG BPP Rumbai Timur,arg,Kota Pekanbaru,93,87,68,87,96,91,85,97,96,95,95,94,96,98,97,97,96,90,87,96,97,98,92,76,51,65,21,25,18,25,8,9,10,9,34,19,24,43,26,31,14,6,13,3,1,76,100,100,96,100,85,45,100,100
STAL042,ARG BPP Kampar Kiri,arg,Kab. Kampar,74,67,62,84,92,81,72,85,77,86,90,88,80,80,71,72,73,55,37,59,59,36,32,33,19,33,39,53,55,52,51,52,53,56,82,90,97,98,98,99,99,99,98,9,97,100,100,100,99,100,99,100,100,100
STA2176,AWS Pekan Arba Indragiri Hilir,aws,Kab. Indragri Hilir,83,81,75,72,79,65,41,9,2,0,7,0,0,0,0,0,1,1,1,44,21,92,99,99,76,47,100,97,98,98,93,32,99,98,92,92,99,98,99,99,100,100,97,97,94,94,94,92,96,88,64,93,56,84
STW1054,AWS Bandar Laksamana Bengkalis,aws,Kab. Bengkalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,204,88,87,65,49,61,81,82,77,45,70,60,81,85,71,24,0,0,0
AAWS0356,AAWS Gunung Toar Kuantan Singingi,aaws,Kab. Kuantan Singingi,100,99,99,100,100,94,74,97,100,98,99,93,100,100,100,100,100,100,99,100,96,100,99,100,97,96,100,100,100,100,99,100,99,100,98,97,100,100,100,100,98,100,100,99,97,100,100,100,100,98,35,62,78,89
STA3202,AAWS Tambang Kampar,aaws,Kab. Kampar,0,0,0,0,0,0,0,0,0,84,100,86,100,100,100,100,100,100,99,99,85,100,99,100,100,95,100,100,100,100,97,100,99,97,98,95,100,100,99,100,100,100,100,97,95,100,100,99,97,88,98,88,70,83
STA3203,AAWS Rimba Melintang Rokan Hilir,aaws,Kab. Rokan Hilir,97,100,99,99,95,88,4,3,30,46,47,48,49,74,100,100,100,100,99,100,94,100,99,100,100,94,100,100,100,100,97,100,99,100,98,95,100,100,100,100,99,100,100,99,97,100,100,100,100,100,100,93,100,96
STA6024,ASRS Stasiun Klimatologi Riau,asrs,Kab. Kampar,37,48,29,36,76,65,76,77,84,4,0,24,36,63,34,17,30,68,15,31,35,20,37,37,45,57,53,45,64,79,85,83,74,71,79,66,89,87,85,82,94,77,88,95,81,89,96,93,97,82,82,87,71,85
STM1026,Soil Moisture Stasiun Klimatologi Riau,soil,Kab. Kampar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,90,63,92,34,83,95,85,90,96,69,87,81,81,84,97,86,96,89,93,97,84,70
