date,site,value
2021-02-01T00:00:00,ARG Kuala Kampar,96
2021-03-01T00:00:00,ARG Kuala Kampar,100
2021-04-01T00:00:00,ARG Kuala Kampar,92
2021-05-01T00:00:00,ARG Kuala Kampar,99
2021-06-01T00:00:00,ARG Kuala Kampar,100
2021-07-01T00:00:00,ARG Kuala Kampar,92
2021-08-01T00:00:00,ARG Kuala Kampar,84
2021-09-01T00:00:00,ARG Kuala Kampar,96
2021-10-01T00:00:00,ARG Kuala Kampar,92
2021-11-01T00:00:00,ARG Kuala Kampar,97
2021-12-01T00:00:00,ARG Kuala Kampar,95
2022-01-01T00:00:00,ARG Kuala Kampar,86
2022-02-01T00:00:00,ARG Kuala Kampar,92
2022-03-01T00:00:00,ARG Kuala Kampar,80
2022-04-01T00:00:00,ARG Kuala Kampar,88
2022-05-01T00:00:00,ARG Kuala Kampar,99
2022-06-01T00:00:00,ARG Kuala Kampar,83
2022-07-01T00:00:00,ARG Kuala Kampar,52
2022-08-01T00:00:00,ARG Kuala Kampar,0
2022-09-01T00:00:00,ARG Kuala Kampar,0
2022-10-01T00:00:00,ARG Kuala Kampar,0
2022-11-01T00:00:00,ARG Kuala Kampar,0
2022-12-01T00:00:00,ARG Kuala Kampar,50
2023-01-01T00:00:00,ARG Kuala Kampar,57
2023-02-01T00:00:00,ARG Kuala Kampar,81
2023-03-01T00:00:00,ARG Kuala Kampar,68
2023-04-01T00:00:00,ARG Kuala Kampar,82
2023-05-01T00:00:00,ARG Kuala Kampar,83
2023-06-01T00:00:00,ARG Kuala Kampar,60
2023-07-01T00:00:00,ARG Kuala Kampar,81
2023-08-01T00:00:00,ARG Kuala Kampar,77
2023-09-01T00:00:00,ARG Kuala Kampar,56
2023-10-01T00:00:00,ARG Kuala Kampar,68
2023-11-01T00:00:00,ARG Kuala Kampar,50
2023-12-01T00:00:00,ARG Kuala Kampar,96
2024-01-01T00:00:00,ARG Kuala Kampar,93
2024-02-01T00:00:00,ARG Kuala Kampar,86
2024-03-01T00:00:00,ARG Kuala Kampar,83
2024-04-01T00:00:00,ARG Kuala Kampar,99
2024-05-01T00:00:00,ARG Kuala Kampar,94
2024-06-01T00:00:00,ARG Kuala Kampar,83
2024-07-01T00:00:00,ARG Kuala Kampar,93
2024-08-01T00:00:00,ARG Kuala Kampar,97
2024-09-01T00:00:00,ARG Kuala Kampar,88
2024-10-01T00:00:00,ARG Kuala Kampar,86
2024-11-01T00:00:00,ARG Kuala Kampar,88
2024-12-01T00:00:00,ARG Kuala Kampar,86
2025-01-01T00:00:00,ARG Kuala Kampar,95
2025-02-01T00:00:00,ARG Kuala Kampar,95
2025-03-01T00:00:00,ARG Kuala Kampar,96
2025-04-01T00:00:00,ARG Kuala Kampar,77
2025-05-01T00:00:00,ARG Kuala Kampar,98
